Crossnumber,Repeat_Pollination_Date,Location
SE202010_(244231C2/242999),2020-10-19,Kawanda
SE202010_(244384C1/242999),2020-10-19,Kawanda
SE202010_(244002C1/244010),2020-10-18,Kawanda
SE202010_(244314C1/242996),2020-10-20,Kawanda
SE202010_(242423C1/243074),2020-10-20,Kawanda
SE202010_(242416C1/242850),2020-10-20,Kawanda
SE202010_(243801C2/242896),2020-10-19,Kawanda
SE202010_(243801C2/242896),2020-10-20,Kawanda
SE202010_(243790C1/243057),2020-10-20,Kawanda
SE202010_(244231C2/242999),2020-10-20,Kawanda
SE202010_(244384C1/242999),2020-10-20,Kawanda
SE202010_(242416C1/242850),2020-10-21,Kawanda
SE202010_(242423C1/243074),2020-10-21,Kawanda
SE202010_(244002C1/244010),2020-10-19,Kawanda
SE202010_(244314C1/242996),2020-10-21,Kawanda
SE202010_(243801C2/242896),2020-10-21,Kawanda
SE202010_(243790C1/243057),2020-10-21,Kawanda
SE202010_(244231C2/242999),2020-10-21,Kawanda
SE202010_(244384C1/242999),2020-10-21,Kawanda
SE202010_(242361C1/243074),2020-10-22,Kawanda
SE202010_(242502C1/243074),2020-10-22,Kawanda
SE202010_(242307C1/242996),2020-10-22,Kawanda
SE202010_(243801C2/242896),2020-10-22,Kawanda
SE202010_(243513C2/242896),2020-10-21,Kawanda
SE202010_(243513C2/242896),2020-10-22,Kawanda
SE202010_(243457C1/242999),2020-10-22,Kawanda
SE202010_(243501C1/243057),2020-10-22,Kawanda
SE202010_(243563C2/242866),2020-10-23,Kawanda
SE202010_(240071C1/242855),2020-10-23,Kawanda
SE202010_(242953C1/242990),2020-10-23,Kawanda
SE202010_(242404C1/243074),2020-10-23,Kawanda
SE202010_(242361C1/243074),2020-10-21,Kawanda
SE202010_(242389C1/242996),2020-10-23,Kawanda
SE202010_(242307C1/242996),2020-10-23,Kawanda
SE202010_(243513C2/242896),2020-10-23,Kawanda
SE202010_(243501C1/243057),2020-10-23,Kawanda
SE202010_(243457C1/242999),2020-10-23,Kawanda
SE202010_(240071C1/242855),2020-10-24,Kawanda
SE202010_(242389C1/242996),2020-10-24,Kawanda
SE202010_(242404C1/243074),2020-10-24,Kawanda
SE202010_(244304C1/242999),2020-10-24,Kawanda
SE202010_(244170C1/242999),2020-10-24,Kawanda
