Crossnumber,Repeat_Pollination_Date,Location
NM202005_(153055C2/161412),2020-05-27,Arusha
NM202005_(152700C2/161598),2020-05-28,Arusha
NM202005_(190260C2/161414),2020-06-01,Arusha
NM202006_(190390C1/161554),2020-06-08,Arusha
NM202006_(190208C1/161461),2020-06-09,Arusha
NM202006_(190208C1/161461),2020-06-10,Arusha
NM202006_(190208C1/161461),2020-06-11,Arusha
NM202006_(152612C2/161414),2020-06-15,Arusha
NM202006_(153038C2/161433),2020-06-16,Arusha
NM202006_(153038C2/161433),2020-06-17,Arusha
NM202006_(153038C2/161433),2020-06-18,Arusha
NM202006_(153038C2/161433),2020-06-19,Arusha
NM202006_(190385C1/161554),2020-06-30,Arusha
NM202006_(190299C2/161536),2020-07-01,Arusha
NM202006_(190209C1/161548),2020-07-02,Arusha
NM202006_(190209C1/161548),2020-07-03,Arusha
NM202007_(152491C2/161522),2020-07-21,Arusha
NM202007_(190218C2/161467),2020-07-27,Arusha
NM202007_(190343C1/161554),2020-07-28,Arusha
NM201903_(152435C1/161424),2019-03-19,Arusha
NM201903_(136556C2/161424),2019-03-20,Arusha
NM201903_(136537C2/161424),2019-03-22,Arusha
NM201903_(152495C1/161582),2019-03-26,Arusha
NM201903_(152892C1/161424),2019-03-28,Arusha
NM201903_(152986C1/161582),2019-03-29,Arusha
NM201903_(152450C1/161564),2019-04-01,Arusha
NM201904_(136504C2/161424),2019-04-04,Arusha
NM201904_(136459C2/161582),2019-04-03,Arusha
NM201904_(152865C1/161582),2019-04-05,Arusha
NM201904_(136558C2/161582),2019-04-09,Arusha
NM201904_(136558C2/161582),2019-04-10,Arusha
NM201904_(136558C2/161582),2019-04-11,Arusha
NM201904_(136507C3/161503),2019-04-12,Arusha
NM201904_(136455C2/161503),2019-04-15,Arusha
NM201904_(136610C2/161503),2019-04-17,Arusha
NM201904_(136640C2/136604),2019-04-19,Arusha
NM201904_(152573C1/136604),2019-04-24,Arusha
NM201904_(136523C2/161503),2019-04-25,Arusha
NM201904_(136324C2/161554),2019-04-29,Arusha
NM201904_(153154C1/161503),2019-04-29,Arusha
NM201904_(153154C1/161503),2019-04-30,Arusha
NM201904_(136424C2/161582),2019-05-01,Arusha
NM201904_(152575C1/161503),2019-05-01,Arusha
NM201904_(136424C2/161582),2019-05-02,Arusha
NM201904_(153109C1/161554),2019-05-02,Arusha
NM201904_(136419C2/161582),2019-05-03,Arusha
NM201905_(136468C2/161582),2019-05-07,Arusha
NM201905_(136663C3/161582),2019-05-08,Arusha
NM201905_(136561C2/161582),2019-05-09,Arusha
NM201905_(136663C3/161582),2019-05-10,Arusha
NM201905_(152508C1/161503),2019-05-14,Arusha
NM201905_(152508C1/161503),2019-05-15,Arusha
NM201905_(152665C1/161446),2019-05-16,Arusha
NM201905_(152665C1/161446),2019-05-17,Arusha
NM201905_(136413C2/161446),2019-05-21,Arusha
NM201905_(152531C1/161477),2019-05-21,Arusha
NM201905_(136413C2/161446),2019-05-22,Arusha
NM201905_(152705C1/161503),2019-05-28,Arusha
NM201905_(152705C1/161503),2019-05-29,Arusha
NM201905_(153004C1/161503),2019-05-31,Arusha
NM201905_(152954C1/161503),2019-06-03,Arusha
NM201905_(152655C1/161503),2019-06-04,Arusha
NM201906_(152538C1/161503),2019-06-07,Arusha
NM201906_(136351C2/161503),2019-06-10,Arusha
NM201906_(136351C2/161503),2019-06-11,Arusha
NM201906_(136389C2/161503),2019-06-12,Arusha
NM201906_(136389C2/161503),2019-06-14,Arusha
NM201906_(152740C1/161446),2019-06-17,Arusha
NM201906_(152821C1/161446),2019-06-18,Arusha
NM201906_(152740C1/161446),2019-06-20,Arusha
NM201906_(152904C1/161584),2019-06-21,Arusha
NM201906_(152877C1/161584),2019-06-25,Arusha
NM201906_(152725C1/161503),2019-06-26,Arusha
NM201906_(152725C1/161503),2019-06-28,Arusha
NM201906_(136397C3/161554),2019-07-01,Arusha
NM201907_(136661C2/161554),2019-07-02,Arusha
NM201906_(136709C2/161554),2019-07-04,Arusha
NM201906_(136397C3/161554),2019-07-05,Arusha
NM201907_(136575C2/161503),2019-07-08,Arusha
NM201907_(136575C2/161503),2019-07-09,Arusha
NM201907_(136575C2/161503),2019-07-10,Arusha
NM201907_(153073C1/161541),2019-07-11,Arusha
NM201907_(136388C2/161503),2019-07-16,Arusha
NM201907_(136388C2/161503),2019-07-17,Arusha
NM201907_(136660C2/161554),2019-07-18,Arusha
NM201907_(136664C2/161503),2019-07-19,Arusha
NM201907_(136660C2/161554),2019-07-22,Arusha
NM201907_(136378C2/161554),2019-07-23,Arusha
NM201907_(136345C2/161500),2019-07-30,Arusha
NM201907_(152901C1/161500),2019-07-31,Arusha
NM201907_(136345C2/161500),2019-08-01,Arusha
NM201907_(136345C2/161500),2019-08-02,Arusha
NM201908_(136360C2/161503),2019-08-05,Arusha
NM201907_(152381C1/161503),2019-08-06,Arusha
NM201907_(152381C1/161503),2019-08-07,Arusha
NM201908_(136639C2/161554),2019-08-09,Arusha
NM201908_(136369C2/161503),2019-08-13,Arusha
NM201908_(136639C2/161554),2019-08-14,Arusha
NM201908_(152786C1/161503),2019-08-19,Arusha
NM201908_(152786C1/161503),2019-08-20,Arusha
NM201908_(136430C2/161500),2019-08-21,Arusha
NM201908_(152786C1/161503),2019-08-22,Arusha
NM201908_(152786C1/161503),2019-08-23,Arusha
NM201908_(152650C2/161503),2019-08-28,Arusha
NM201908_(136302C2/161554),2019-08-29,Arusha
NM201908_(136475C2/161503),2019-08-30,Arusha
NM201908_(136548C2/161554),2019-09-02,Arusha
NM201908_(136548C2/161554),2019-09-03,Arusha
NM201908_(136548C2/161554),2019-09-04,Arusha
NM201908_(136475C2/161503),2019-09-05,Arusha
NM201909_(136676C2/161541),2019-09-06,Arusha
NM201909_(136373C2/161503),2019-09-09,Arusha
NM201909_(152607C1/161554),2019-09-12,Arusha
NM201909_(136711C2/161503),2019-09-13,Arusha
NM201909_(136288C2/161503),2019-09-16,Arusha
NM201909_(136288C2/161503),2019-09-17,Arusha
NM201909_(136456C2/161584),2019-09-18,Arusha
NM201909_(136288C2/161503),2019-09-19,Arusha
NM201909_(136456C2/161584),2019-09-20,Arusha
NM201909_(153163C2/161541),2019-10-02,Arusha
NM201909_(153163C2/161541),2019-10-03,Arusha
NM201909_(153163C2/161541),2019-10-04,Arusha
NM201909_(136309C3/161541),2019-10-08,Arusha
NM201910_(152416C2/161503),2019-10-10,Arusha
NM201910_(136564C3/161584),2019-10-11,Arusha
NM201910_(190218C1/161472),2019-10-15,Arusha
NM201910_(152530C2/161584),2019-10-16,Arusha
NM201910_(153020C2/161421),2019-10-24,Arusha
NM201910_(152933C1/161480),2019-10-25,Arusha
NM201910_(153156C1/161480),2019-10-28,Arusha
NM201910_(153156C1/161480),2019-10-29,Arusha
NM201910_(152933C1/161480),2019-10-30,Arusha
NM201910_(153086C2/161480),2019-10-31,Arusha
NM201910_(190956C1/161554),2019-11-01,Arusha
NM201910_(136560C3/161584),2019-11-04,Arusha
NM201910_(136521C3/161584),2019-11-05,Arusha
NM201911_(136628C3/161503),2019-11-05,Arusha
