FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
29275S-1_14_R8P1,29275S-1,female,2019-02-14,Sendusu
29275S-4_14_R2P2,29275S-4,female,2019-02-14,Sendusu
Nfuuka_14_Phase1_R14C2,Nfuuka,female,2019-02-05,Sendusu
Enzirabahima_14_Phase1_R27C13,ITC1354,female,2019-02-05,Sendusu
Kabucuragye_14_Phase1_R20C8,Kabucuragye,female,2019-02-19,Sendusu
Kabucuragye_14_Phase1_R21C3,Kabucuragye,female,2019-02-19,Sendusu
29275S-1_14_R8P2,29275S-1,female,2019-02-19,Sendusu
Entukura_14_Phase1_R5C10,Entukura,female,2019-02-20,Sendusu
Entukura_14_Phase1_R4C5,Entukura,female,2019-02-25,Sendusu
Tereza_14_Phase1_R17C8,Tereza,female,2019-02-22,Sendusu
Enzirabahima_14_Phase1_R26C5,ITC1354,female,2019-02-22,Sendusu
Nakasabira_14_Phase1_R31C1,Nakasabira,female,2019-02-25,Sendusu
Nakasabira_14_Phase2_R33C7,Nakasabira,female,2019-02-18,Sendusu
Tereza_14_Phase2_R18C5,Tereza,female,2019-02-25,Sendusu
Entukura_14_Phase2_R5C7,Entukura,female,2019-02-23,Sendusu
Tereza_16_Phase3_R16C10,Tereza,female,2019-02-21,Sendusu
Entukura_14_Phase1_R6C2,Entukura,female,2019-02-28,Sendusu
Entukura_14_Phase1_R6C3,Entukura,female,2019-02-28,Sendusu
29275S-1_14_R7P4,29275S-1,female,2019-02-28,Sendusu
29275S-1_14_R7P7,29275S-1,female,2019-02-28,Sendusu
Enzirabahima_14_Phase1_R26C16,ITC1354,female,2019-03-04,Sendusu
Enzirabahima_16_Phase3_R27C4,ITC1354,female,2019-03-02,Sendusu
Nakyetengu_14_Phase1_R7C13,IITA-Nakyetengu,female,2019-03-01,Sendusu
Nakyetengu_14_Phase1_R9C13,IITA-Nakyetengu,female,2019-03-01,Sendusu
Kazirakwe_14_Phase1_R30C12,ITC1355,female,2019-03-01,Sendusu
Enzirabahima_14_Phase1_R27C16,ITC1354,female,2019-03-01,Sendusu
Nakasabira_14_Phase2_R32C2,Nakasabira,female,2019-03-01,Sendusu
Entukura_16_Phase3_R5C5,Entukura,female,2019-03-01,Sendusu
17-OPPZebrina_R26C10_plot385,OPP Zebrina,female,2019-03-04,Sendusu
Entukura_14_Phase1_R6C3,Entukura,female,2019-02-27,Sendusu
Enzirabahima_14_Phase2_R25C10,ITC1354,female,2019-02-26,Sendusu
Nakyetengu_14_Phase2_R8C8,IITA-Nakyetengu,female,2019-02-26,Sendusu
Nakyetengu_14_Phase1_R9C4,IITA-Nakyetengu,female,2019-01-30,Sendusu
Nakyetengu_14_Phase1_R8C16,IITA-Nakyetengu,female,2019-01-24,Sendusu
Nakyetengu_14_Phase1_R8C17,IITA-Nakyetengu,female,2019-01-25,Sendusu
Entukura_14_Phase1_R5C3,Entukura,female,2019-01-30,Sendusu
Nfuuka_14_Phase1_R14C4,Nfuuka,female,2019-01-25,Sendusu
Nfuuka_14_Phase1_R15C9,Nfuuka,female,2019-01-31,Sendusu
Tereza_14_Phase1_R17C3,Tereza,female,2019-02-04,Sendusu
Enzirabahima_14_Phase1_R26C1,ITC1354,female,2019-01-24,Sendusu
Enzirabahima_14_Phase1_R27C11,ITC1354,female,2019-01-28,Sendusu
Kazirakwe_14_Phase1_R30C2,ITC1355,female,2019-01-28,Sendusu
Nakasabira_14_Phase1_R31C16,Nakasabira,female,2019-01-28,Sendusu
Kazirakwe_14_Phase1_R28C5,ITC1355,female,2019-01-29,Sendusu
Entukura_14_Phase1_R4C13,Entukura,female,2019-03-04,Sendusu
29364S-2_14_R12P6,29364S-2,female,2019-03-05,Sendusu
29275S-1_14_R8P5,29275S-1,female,2019-03-05,Sendusu
29275S-4_14_R1P7,29275S-4,female,2019-03-05,Sendusu
Kabucuragye_16_Phase3_R21C4,Kabucuragye,female,2019-03-06,Sendusu
Entukura_14_Phase1_R6C9,Entukura,female,2019-03-07,Sendusu
Nfuuka_14_Phase1_R15C12,Nfuuka,female,2019-03-07,Sendusu
Kabucuragye_16_Phase3_R21C4,Kabucuragye,female,2019-03-07,Sendusu
Enzirabahima_16_Phase3_R26C9,ITC1354,female,2019-03-07,Sendusu
Nakasabira_14_Phase2_R33C3,Nakasabira,female,2019-03-07,Sendusu
Nfuuka_14_Phase1_R14C13,Nfuuka,female,2019-03-08,Sendusu
Enzirabahima_14_Phase2_R26C1,ITC1354,female,2019-03-08,Sendusu
Entukura_14_Phase1_R5C13,Entukura,female,2019-03-11,Sendusu
Nfuuka_14_Phase1_R14C7,Nfuuka,female,2019-03-11,Sendusu
Enzirabahima_14_Phase1_R26C8,ITC1354,female,2019-03-11,Sendusu
Kazirakwe_14_Phase2_R29C1,ITC1355,female,2019-03-11,Sendusu
Enzirabahima_14_Phase2_R26C4,ITC1354,female,2019-03-11,Sendusu
Kabucuragye_16_Phase3_R20C3,Kabucuragye,female,2019-03-11,Sendusu
Kazirakwe_14_Phase2_R29C1,ITC1355,female,2019-03-12,Sendusu
Enzirabahima_14_Phase2_R26C4,ITC1354,female,2019-03-12,Sendusu
Kabucuragye_16_Phase3_R20C3,Kabucuragye,female,2019-03-12,Sendusu
29364S-2_14_R12P7,29364S-2,female,2019-03-13,Sendusu
Enzirabahima_16_Phase3_R26C1,ITC1354,female,2019-03-13,Sendusu
Entukura_14_Phase1_R4C15,Entukura,female,2019-03-14,Sendusu
Nakasabira_14_Phase1_R31C4,Nakasabira,female,2019-03-14,Sendusu
Entukura_14_Phase2_R4C5,Entukura,female,2019-03-14,Sendusu
Kazirakwe_16_Phase3_R29C3,ITC1355,female,2019-03-14,Sendusu
Kazirakwe_16_Phase3_R29C6,ITC1355,female,2019-03-14,Sendusu
29275S-4_14_R2P6,29275S-4,female,2019-03-14,Sendusu
Nakasabira_14_Phase1_R31C4,Nakasabira,female,2019-03-15,Sendusu
Kazirakwe_14_Phase2_R29C4,ITC1355,female,2019-03-15,Sendusu
Enzirabahima_14_Phase2_R25C2,ITC1354,female,2019-03-16,Sendusu
Enzirabahima_14_Phase2_R27C8,ITC1354,female,2019-03-16,Sendusu
Kazirakwe_14_Phase2_R28C9,ITC1355,female,2019-03-15,Sendusu
29275S-4_14_R2P6,29275S-4,female,2019-03-16,Sendusu
29364S-2_14_R11P6,29364S-2,female,2019-03-16,Sendusu
Entukura_14_Phase1_R4C17,Entukura,female,2019-03-18,Sendusu
Entukura_16_Phase3_R6C8,Entukura,female,2019-03-18,Sendusu
Nakasabira_14_Phase1_R33C7,Nakasabira,female,2019-03-18,Sendusu
Kazirakwe_14_Phase1_R29C16,ITC1355,female,2019-03-19,Sendusu
29364S-2_14_R10P5,29364S-2,female,2019-03-19,Sendusu
Entukura_14_Phase1_R4C7,Entukura,female,2019-03-25,Sendusu
Kabucuragye_16_Phase3_R21C6,Kabucuragye,female,2019-03-25,Sendusu
Kabucuragye_14_Phase1_R20C4,Kabucuragye,male,2019-03-25,Sendusu
Entukura_14_Phase1_R4C7,Entukura,male,2019-03-25,Sendusu
Nfuuka_14_Phase2_R13C7,Nfuuka,female,2019-03-21,Sendusu
Enzirabahima_14_Phase2_R26C10,ITC1354,female,2019-03-25,Sendusu
Kazirakwe_16_Phase3_R30C5,ITC1355,female,2019-03-21,Sendusu
Kabucuragye_16_Phase3_R21C6,Kabucuragye,female,2019-03-25,Sendusu
Tereza_16_Phase3_R17C8,Tereza,female,2019-03-20,Sendusu
Nakasabira_14_Phase1_R32C2,Nakasabira,female,2019-03-25,Sendusu
29364S-2_14_R11P1,29364S-2,female,2019-03-25,Sendusu
29364S-2_14_R10P5,29364S-2,female,2019-03-20,Sendusu
29275S-1_14_R8P8,29275S-1,female,2019-03-25,Sendusu
Nakasabira_14_Phase1_R32C15,Nakasabira,female,2019-03-21,Sendusu
Kazirakwe_14_Phase1_R28C12,ITC1355,female,2019-03-21,Sendusu
