FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
401K-1-R-4--C-41,401K-1,female,2020-11-29,Kawanda
1201K-1-R-3--C-46,1201K-1,female,2020-11-29,Kawanda
1201K-1-R-4--C-46,1201K-1,female,2020-11-29,Kawanda
1154K-1-R-8--C-49,1154K-1,female,2020-11-29,Kawanda
199K-3-R-3--C-53,199K-3,female,2020-11-29,Kawanda
Nakawere-R-8-C-13,Nakawere,female,2020-11-29,Kawanda
Namande-r3-c47,Namande,female,2020-11-30,Kawanda
enz-r8-c2,ITC1354-Enzirabahima,female,2020-11-30,Kawanda
enz-r9-c2,ITC1354-Enzirabahima,female,2020-11-30,Kawanda
376K-1-r6-c24,376K-1,female,2020-11-30,Kawanda
199K-3-R-1--C-52,199K-3,female,2020-12-01,Kawanda
Enzirabahima-r5-c52,ITC1354-Enzirabahima,female,2020-12-01,Kawanda
Nakawere-R-2-C-8,Nakawere,female,2020-12-01,Kawanda
Kabucuragye-R-6-C-16,Kabucuragye,female,2020-12-01,Kawanda
1411K-1-R-2--C-59,1411K-1,female,2020-12-02,Kawanda
401K-1-R-4--C-62,401K-1,female,2020-12-02,Kawanda
Kabucuragye-R-6-C-16,Kabucuragye,female,2020-12-03,Kawanda
199K-3-R-7--C-52,199K-3,female,2020-12-03,Kawanda
Nabio1117-R-1--C-57,Nabio1117,female,2020-12-03,Kawanda
376K-1-r4-c22,376K-1,female,2020-12-03,Kawanda
1747K-1-r2-c1,1747K-1,female,2020-12-03,Kawanda
401K-1-R-5--C-39,401K-1,female,2020-12-04,Kawanda
Nabio1117-R-6--C-57,Nabio1117,female,2020-12-03,Kawanda
376K-1-R-1--C-43,376K-1,female,2020-12-04,Kawanda
Nakawere-R-4-C-10,Nakawere,female,2020-12-05,Kawanda
Namande-R-4-C-1,Namande,female,2020-12-05,Kawanda
246K-1-R-6--C-48,246K-1,female,2020-12-06,Kawanda
660K-1-R-8--C-36,660K-1,female,2020-12-07,Kawanda
917K-2-R-6--C-51,917K-2,female,2020-12-07,Kawanda
1747K-1-r4-c2,1747K-1,female,2020-12-07,Kawanda
1747K-1-r5-c1,1747K-1,female,2020-12-07,Kawanda
1201K-1-R-6--C-46,1201K-1,female,2020-12-08,Kawanda
376K-1-R-3--C-42,376K-1,female,2020-12-09,Kawanda
enz-r3-c1,ITC1354-Enzirabahima,female,2020-12-09,Kawanda
Nabio1117-R-8--C-56,Nabio1117,female,2020-12-10,Kawanda
Nakawere-R-4-C-10,Nakawere,female,2020-12-09,Kawanda
Nakawere-R-8-C-8,Nakawere,female,2020-12-11,Kawanda
Nakawere-R-6-C-10,Nakawere,female,2020-12-11,Kawanda
